Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Season,Review Rating,Subscription Status,Shipping Type,Previous Purchases,Payment Method,Frequency of Purchases
83,19.0,Male,Pants,Clothing,28.0,Georgia,Spring,4.0,Yes,2-Day Shipping,21,Credit Card,Every 3 Months
84,36.0,Male,Dress,Clothing,40.0,Texas,Summer,4.1,Yes,Standard,34,Bank Transfer,Weekly
85,52.0,Male,Coat,Outerwear,32.0,Arizona,Spring,4.4,Yes,Standard,42,Bank Transfer,Every 3 Months
86,53.0,Male,Sunglasses,Accessories,95.0,New Mexico,Winter,4.5,Yes,Next Day Air,2,Debit Card,Bi-Weekly
87,24.0,Male,Hoodie,Clothing,41.0,Nevada,Spring,3.7,Yes,2-Day Shipping,47,Cash,Bi-Weekly
88,52.0,Male,Shoes,Footwear,53.0,Ohio,Fall,3.7,Yes,2-Day Shipping,44,Debit Card,Fortnightly
89,33.0,Male,T-shirt,Clothing,47.0,Wyoming,Fall,3.5,Yes,Free Shipping,35,Credit Card,Monthly
90,44.0,Male,Jacket,Outerwear,83.0,California,Fall,3.6,Yes,Next Day Air,15,Cash,Quarterly
91,25.0,Male,Hat,Accessories,48.0,South Carolina,Summer,2.9,Yes,Express,29,Credit Card,Monthly
92,44.0,Male,Scarf,Accessories,99.0,South Carolina,Winter,4.6,Yes,Standard,18,Credit Card,Every 3 Months
93,61.0,Male,Jacket,Outerwear,87.0,Texas,Winter,4.4,Yes,2-Day Shipping,13,Venmo,Every 3 Months
94,37.0,Male,Sweater,Clothing,62.0,Florida,Fall,4.5,Yes,Standard,46,Credit Card,Weekly
95,58.0,Male,Skirt,Clothing,76.0,Nevada,Spring,4.6,Yes,Free Shipping,28,Credit Card,Weekly
96,37.0,Male,Sneakers,Footwear,100.0,Missouri,Fall,3.8,Yes,Free Shipping,48,PayPal,Monthly
97,32.0,Male,Gloves,Accessories,73.0,Delaware,Spring,3.6,Yes,Express,43,Venmo,Every 3 Months
98,21.0,Male,Shoes,Footwear,92.0,Virginia,Winter,4.8,Yes,Store Pickup,37,Cash,Annually
99,20.0,Male,Jeans,Clothing,67.0,New York,Spring,2.6,Yes,Next Day Air,20,Bank Transfer,Annually
100,26.0,Male,Hoodie,Clothing,40.0,Missouri,Summer,3.7,Yes,Express,33,Debit Card,Quarterly
101,62.0,Male,Sunglasses,Accessories,98.0,South Dakota,Fall,2.7,Yes,Express,31,Cash,Fortnightly
102,27.0,Male,Coat,Outerwear,85.0,North Dakota,Spring,4.6,Yes,Express,50,Credit Card,Bi-Weekly
103,51.0,Male,Socks,Clothing,67.0,Oklahoma,Winter,4.8,Yes,Next Day Air,35,Credit Card,Quarterly
104,54.0,Male,Boots,Footwear,89.0,West Virginia,Winter,4.0,Yes,Next Day Air,22,Venmo,Bi-Weekly
105,55.0,Male,Sunglasses,Accessories,24.0,New Hampshire,Spring,4.4,Yes,2-Day Shipping,1,PayPal,Monthly
106,69.0,Male,Backpack,Accessories,96.0,New York,Fall,3.6,Yes,Next Day Air,4,Bank Transfer,Annually
107,64.0,Male,Jacket,Outerwear,35.0,Minnesota,Summer,3.7,Yes,Standard,31,Credit Card,Monthly
108,28.0,Male,Sneakers,Footwear,67.0,Maryland,Winter,3.1,Yes,Next Day Air,46,PayPal,Fortnightly
109,70.0,Male,Socks,Clothing,79.0,Montana,Spring,3.4,Yes,Next Day Air,32,Bank Transfer,Bi-Weekly
110,58.0,Male,T-shirt,Clothing,85.0,Alabama,Spring,2.6,Yes,Next Day Air,43,Bank Transfer,Fortnightly
111,56.0,Male,Backpack,Accessories,26.0,New York,Summer,4.0,Yes,Standard,26,Venmo,Fortnightly
112,26.0,Male,Belt,Accessories,75.0,Massachusetts,Summer,5.0,Yes,Free Shipping,9,Credit Card,Annually
113,37.0,Male,Gloves,Accessories,65.0,Florida,Spring,4.3,Yes,Free Shipping,28,PayPal,Bi-Weekly
114,44.0,Male,Hat,Accessories,54.0,New Jersey,Winter,3.1,Yes,Next Day Air,20,PayPal,Quarterly
115,70.0,Male,Coat,Outerwear,95.0,Massachusetts,Summer,3.7,Yes,Store Pickup,9,Cash,Weekly
116,53.0,Male,Skirt,Clothing,94.0,Wyoming,Spring,3.8,Yes,Standard,48,Debit Card,Every 3 Months
117,55.0,Male,Shoes,Footwear,86.0,Virginia,Spring,3.4,Yes,Free Shipping,12,Venmo,Annually
118,50.0,Male,Sandals,Footwear,144.0,South Dakota,Summer,4.6,Yes,Express,29,Cash,Fortnightly
119,50.0,Male,Sweater,Clothing,45.0,Kentucky,Fall,4.8,Yes,2-Day Shipping,27,Cash,Bi-Weekly
120,38.0,Male,Coat,Outerwear,76.0,Wyoming,Fall,4.3,Yes,Express,44,Cash,Annually
121,64.0,Male,Hat,Accessories,84.0,West Virginia,Summer,4.0,Yes,Express,32,Bank Transfer,Annually
122,19.0,Male,Shorts,Clothing,72.0,Virginia,Winter,4.2,Yes,Standard,11,Cash,Fortnightly
123,40.0,Male,Backpack,Accessories,40.0,Washington,Spring,4.8,Yes,2-Day Shipping,44,Cash,Fortnightly
124,57.0,Male,Sweater,Clothing,89.0,Louisiana,Fall,3.1,Yes,Free Shipping,46,Cash,Weekly
125,44.0,Male,Sweater,Clothing,86.0,Nevada,Spring,3.1,Yes,Next Day Air,50,PayPal,Annually
126,49.0,Male,Shorts,Clothing,54.0,California,Winter,3.6,Yes,Next Day Air,45,Venmo,Every 3 Months
127,43.0,Male,Shorts,Clothing,36.0,Mississippi,Spring,3.9,Yes,Store Pickup,48,Cash,Every 3 Months
128,24.0,Male,Sweater,Clothing,89.0,Mississippi,Winter,4.8,Yes,Next Day Air,26,Credit Card,Weekly
129,20.0,Male,Scarf,Accessories,32.0,California,Spring,4.7,Yes,Standard,21,Credit Card,Fortnightly
130,24.0,Male,Dress,Clothing,67.0,Pennsylvania,Summer,4.2,Yes,2-Day Shipping,49,PayPal,Bi-Weekly
131,44.0,Male,Scarf,Accessories,39.0,Kentucky,Fall,3.7,Yes,Next Day Air,13,PayPal,Fortnightly
132,28.0,Male,Skirt,Clothing,29.0,Maine,Summer,3.9,Yes,Standard,46,Credit Card,Weekly
133,30.0,Male,Backpack,Accessories,58.0,New Mexico,Fall,4.7,Yes,2-Day Shipping,42,PayPal,Weekly
134,52.0,Male,Sweater,Clothing,65.0,Montana,Winter,2.5,Yes,Next Day Air,25,Venmo,Annually
135,43.0,Male,Hat,Accessories,1.0,Texas,Fall,4.9,Yes,Store Pickup,25,Cash,Monthly
136,43.0,Male,Sandals,Footwear,81.0,Kansas,Fall,4.1,Yes,Express,12,PayPal,Quarterly
137,39.0,Male,Blouse,Clothing,86.0,South Carolina,Winter,3.3,Yes,Free Shipping,4,Debit Card,Quarterly
138,68.0,Male,Sneakers,Footwear,43.0,Colorado,Spring,4.7,Yes,Free Shipping,38,PayPal,Weekly
139,68.0,Male,Skirt,Clothing,29.0,Georgia,Winter,4.4,Yes,Store Pickup,42,Bank Transfer,Weekly
140,49.0,Male,Coat,Outerwear,95.0,Florida,Fall,3.8,Yes,Store Pickup,30,Venmo,Annually
141,44.0,Male,Shirt,Clothing,28.0,North Carolina,Fall,3.9,Yes,2-Day Shipping,50,Credit Card,Weekly
142,56.0,Male,Gloves,Accessories,46.0,Virginia,Fall,4.9,Yes,Free Shipping,45,PayPal,Weekly
143,37.0,Male,Jacket,Outerwear,58.0,Nebraska,Fall,3.1,Yes,Free Shipping,33,Credit Card,Fortnightly
144,30.0,Male,Coat,Outerwear,48.0,Missouri,Fall,2.7,Yes,Store Pickup,25,PayPal,Quarterly
145,19.0,Male,Shoes,Footwear,43.0,New Jersey,Fall,3.2,Yes,Express,25,Cash,Monthly
146,24.0,Male,Jewelry,Accessories,95.0,Missouri,Fall,4.5,Yes,Standard,44,Debit Card,Quarterly
147,52.0,Male,Skirt,Clothing,30.0,Colorado,Fall,4.0,Yes,Standard,21,Venmo,Fortnightly
148,63.0,Male,Shoes,Footwear,64.0,Idaho,Summer,3.5,Yes,2-Day Shipping,31,Bank Transfer,Fortnightly
149,37.0,Male,Gloves,Accessories,90.0,Wyoming,Fall,2.6,Yes,Store Pickup,47,Debit Card,Annually
150,38.0,Male,Pants,Clothing,76.0,Delaware,Summer,3.2,Yes,Free Shipping,14,PayPal,Monthly
151,35.0,Male,Boots,Footwear,96.0,California,Fall,4.9,Yes,Standard,17,Debit Card,Every 3 Months
152,28.0,Male,Sunglasses,Accessories,47.0,North Dakota,Fall,4.5,Yes,Next Day Air,3,Venmo,Annually
153,30.0,Male,Shirt,Clothing,85.0,South Carolina,Summer,4.3,Yes,Express,42,Venmo,Annually
154,69.0,Male,Hoodie,Clothing,55.0,North Carolina,Winter,3.2,Yes,Standard,22,Debit Card,Annually
155,41.0,Male,Dress,Clothing,98.0,Oklahoma,Fall,3.6,Yes,Next Day Air,21,Venmo,Quarterly
156,63.0,Male,Socks,Clothing,77.0,Maine,Spring,4.3,Yes,Free Shipping,21,Bank Transfer,Quarterly
157,35.0,Male,Shorts,Clothing,26.0,Missouri,Fall,4.0,Yes,Standard,40,Debit Card,Annually
158,36.0,Male,Hat,Accessories,68.0,Vermont,Fall,3.0,Yes,Next Day Air,1,Bank Transfer,Fortnightly
159,25.0,Male,Shirt,Clothing,73.0,Connecticut,Fall,4.1,Yes,Standard,50,Bank Transfer,Monthly
160,58.0,Male,Gloves,Accessories,27.0,New Hampshire,Fall,3.8,Yes,Store Pickup,39,Bank Transfer,Every 3 Months
161,27.0,Male,Gloves,Accessories,23.0,Texas,Summer,4.6,Yes,Free Shipping,34,Venmo,Monthly
162,65.0,Male,Backpack,Accessories,49.0,North Dakota,Fall,3.0,Yes,Express,29,Venmo,Fortnightly
163,54.0,Male,Sunglasses,Accessories,74.0,California,Summer,3.0,Yes,Store Pickup,31,PayPal,Bi-Weekly
164,54.0,Male,Skirt,Clothing,67.0,Virginia,Summer,3.4,Yes,Standard,8,Debit Card,Weekly
165,59.0,Male,Handbag,Accessories,144.0,Delaware,Spring,2.6,Yes,Free Shipping,5,Credit Card,Fortnightly
166,42.0,Male,Handbag,Accessories,60.0,Kentucky,Winter,2.8,Yes,Store Pickup,7,Cash,Monthly
167,46.0,Male,Sneakers,Footwear,31.0,Delaware,Fall,4.0,Yes,Store Pickup,30,Cash,Monthly
168,33.0,Male,Gloves,Accessories,27.0,Arkansas,Fall,4.0,Yes,Express,14,Credit Card,Every 3 Months
169,34.0,Male,Shoes,Footwear,80.0,Louisiana,Summer,3.0,Yes,Express,5,Cash,Fortnightly
170,27.0,Male,Jacket,Outerwear,30.0,Nevada,Summer,3.3,Yes,Standard,3,PayPal,Every 3 Months
171,52.0,Male,Shirt,Clothing,25.0,Wyoming,Fall,2.6,Yes,Store Pickup,46,Venmo,Bi-Weekly
172,29.0,Male,Shorts,Clothing,35.0,Virginia,Summer,3.6,Yes,Store Pickup,4,Credit Card,Weekly
173,54.0,Male,Jewelry,Accessories,67.0,Nebraska,Summer,3.9,Yes,Next Day Air,42,Credit Card,Bi-Weekly
174,25.0,Male,Hat,Accessories,46.0,Hawaii,Fall,3.4,Yes,Standard,30,Cash,Annually
175,41.0,Male,Shoes,Footwear,35.0,Vermont,Winter,3.5,Yes,Express,37,Venmo,Annually
176,53.0,Male,Coat,Outerwear,86.0,Oklahoma,Fall,2.8,Yes,Next Day Air,2,Bank Transfer,Annually
177,53.0,Male,Backpack,Accessories,81.0,New Hampshire,Spring,2.7,Yes,Next Day Air,30,Credit Card,Quarterly
178,21.0,Male,Hoodie,Clothing,42.0,Kansas,Fall,3.7,Yes,Next Day Air,47,Bank Transfer,Monthly
179,44.0,Male,Skirt,Clothing,43.0,Idaho,Fall,4.3,Yes,2-Day Shipping,21,PayPal,Quarterly
180,64.0,Male,Boots,Footwear,31.0,Illinois,Fall,4.9,Yes,Store Pickup,9,Bank Transfer,Fortnightly
181,51.0,Male,Sandals,Footwear,81.0,South Dakota,Fall,3.3,Yes,Store Pickup,12,Debit Card,Fortnightly
182,32.0,Male,Pants,Clothing,61.0,Massachusetts,Summer,4.7,Yes,Next Day Air,4,Bank Transfer,Weekly
183,38.0,Male,Gloves,Accessories,96.0,Alabama,Summer,2.8,Yes,Store Pickup,10,Debit Card,Annually
184,58.0,Male,Skirt,Clothing,29.0,Ohio,Spring,3.6,Yes,2-Day Shipping,26,Credit Card,Weekly
185,32.0,Male,Sneakers,Footwear,33.0,Hawaii,Spring,3.0,Yes,Express,40,Cash,Fortnightly
186,46.0,Male,T-shirt,Clothing,32.0,Wisconsin,Summer,4.5,Yes,Store Pickup,34,Bank Transfer,Fortnightly
187,39.0,Male,Backpack,Accessories,56.0,Minnesota,Summer,2.9,Yes,Standard,31,Debit Card,Annually
188,19.0,Male,Shoes,Footwear,94.0,Georgia,Spring,3.3,Yes,Store Pickup,1,Bank Transfer,Bi-Weekly
189,50.0,Male,Hoodie,Clothing,53.0,Arkansas,Spring,3.1,Yes,Express,5,Bank Transfer,Bi-Weekly
190,36.0,Male,Blouse,Clothing,82.0,West Virginia,Fall,4.4,Yes,Next Day Air,4,Credit Card,Weekly
191,65.0,Male,Coat,Outerwear,70.0,Indiana,Fall,3.0,Yes,Free Shipping,48,Venmo,Quarterly
192,64.0,Male,Hat,Accessories,76.0,Utah,Fall,3.9,Yes,Free Shipping,29,Cash,Every 3 Months
193,46.0,Male,Shoes,Footwear,29.0,Nebraska,Summer,2.9,Yes,Express,12,PayPal,Bi-Weekly
194,36.0,Male,Belt,Accessories,100.0,North Dakota,Fall,3.0,Yes,Standard,29,Venmo,Annually
195,51.0,Male,Backpack,Accessories,94.0,Missouri,Spring,3.1,Yes,Express,15,Debit Card,Quarterly
196,51.0,Male,Jacket,Outerwear,25.0,New York,Fall,4.3,Yes,Free Shipping,34,Credit Card,Monthly
197,38.0,Male,Boots,Footwear,88.0,Washington,Summer,3.9,Yes,Next Day Air,41,Credit Card,Fortnightly
198,59.0,Male,Scarf,Accessories,78.0,South Carolina,Fall,3.2,Yes,2-Day Shipping,41,Credit Card,Monthly
199,57.0,Male,Jewelry,Accessories,45.0,Utah,Winter,4.8,Yes,Standard,39,Credit Card,Fortnightly
200,54.0,Male,Hat,Accessories,73.0,Idaho,Summer,3.8,Yes,Express,32,Cash,Weekly
201,25.0,Male,Dress,Clothing,61.0,Pennsylvania,Summer,3.3,Yes,Next Day Air,29,Venmo,Monthly
202,69.0,Male,Blouse,Clothing,22.0,Missouri,Fall,4.3,Yes,Free Shipping,15,Bank Transfer,Annually
203,57.0,Male,Hat,Accessories,38.0,Nebraska,Spring,2.7,Yes,Express,33,Venmo,Annually
204,70.0,Male,Scarf,Accessories,38.0,Indiana,Fall,3.2,Yes,Next Day Air,18,Bank Transfer,Weekly
205,24.0,Male,Sneakers,Footwear,100.0,Arizona,Fall,4.0,Yes,Store Pickup,35,Cash,Bi-Weekly
206,67.0,Male,Shirt,Clothing,64.0,Hawaii,Winter,3.0,Yes,Standard,25,PayPal,Weekly
207,44.0,Male,T-shirt,Clothing,55.0,Wisconsin,Summer,4.2,Yes,Free Shipping,6,Venmo,Fortnightly
208,62.0,Male,Gloves,Accessories,91.0,Rhode Island,Summer,2.9,Yes,Express,17,Bank Transfer,Bi-Weekly
209,57.0,Male,Skirt,Clothing,38.0,Wisconsin,Spring,4.1,Yes,Store Pickup,17,Credit Card,Monthly
210,55.0,Male,Sandals,Footwear,97.0,Minnesota,Winter,3.2,Yes,Store Pickup,44,Cash,Every 3 Months
211,45.0,Male,Jacket,Outerwear,22.0,Vermont,Fall,3.0,Yes,2-Day Shipping,6,PayPal,Fortnightly
212,69.0,Male,Skirt,Clothing,92.0,South Dakota,Fall,4.2,Yes,2-Day Shipping,45,Debit Card,Fortnightly
213,67.0,Male,Handbag,Accessories,84.0,Virginia,Fall,4.2,Yes,Express,7,Debit Card,Annually
214,30.0,Male,Handbag,Accessories,93.0,Nevada,Fall,4.4,Yes,Store Pickup,11,Debit Card,Every 3 Months
215,24.0,Male,Jacket,Outerwear,50.0,Hawaii,Summer,4.2,Yes,Next Day Air,41,Cash,Every 3 Months
216,62.0,Male,Scarf,Accessories,0.56,New Jersey,Spring,2.8,Yes,2-Day Shipping,24,PayPal,Bi-Weekly
217,43.0,Male,Shorts,Clothing,61.0,Massachusetts,Spring,3.7,Yes,Free Shipping,21,Venmo,Weekly
218,35.0,Male,Sunglasses,Accessories,48.0,Oklahoma,Winter,3.5,Yes,Next Day Air,24,Bank Transfer,Annually
219,28.0,Male,T-shirt,Clothing,45.0,California,Spring,2.9,Yes,Store Pickup,8,Credit Card,Quarterly
220,32.0,Male,Belt,Accessories,88.0,Nevada,Spring,3.0,Yes,Free Shipping,12,Cash,Fortnightly
221,39.0,Male,Sneakers,Footwear,57.0,Arizona,Spring,3.7,Yes,Express,48,Debit Card,Fortnightly
222,28.0,Male,Hat,Accessories,68.0,North Carolina,Summer,4.4,Yes,Store Pickup,6,Bank Transfer,Quarterly
223,47.0,Male,Gloves,Accessories,94.0,New York,Spring,4.5,Yes,2-Day Shipping,14,PayPal,Fortnightly
224,20.0,Male,Pants,Clothing,41.0,Wyoming,Spring,4.8,Yes,Free Shipping,34,PayPal,Annually
225,63.0,Male,Socks,Clothing,83.0,South Dakota,Summer,2.9,Yes,Free Shipping,12,Cash,Every 3 Months
226,25.0,Male,Jacket,Outerwear,22.0,Arkansas,Spring,3.2,Yes,Next Day Air,11,Bank Transfer,Annually
227,29.0,Male,Shoes,Footwear,74.0,Texas,Spring,3.3,Yes,Free Shipping,5,PayPal,Monthly
228,50.0,Male,Jeans,Clothing,90.0,Rhode Island,Winter,4.2,Yes,Standard,25,Venmo,Fortnightly
229,18.0,Male,Socks,Clothing,79.0,New Hampshire,Spring,2.9,Yes,Store Pickup,11,Credit Card,Annually
